template_id,mean,count
1,2.225400447845459,1
2,-15.648109436035156,2
4,-5.129630756378174,5
5,-0.19866180419921875,4
6,-1.3215785026550293,10
7,-1.6982823212941487,12
8,3.908665180206299,8
9,2.7847681353169103,31
10,4.880317995625157,31
11,-6.6288006122295675,26
12,-0.6568925380706787,24
13,5.239935027228461,27
14,3.268794636977346,19
